	city	type_of_street	name_of_street	number_of_house	type_of_building	num_of_building	year
7265	Москва	ул	Новочеремушкинская	39	к	2	1965
7266	Москва	ул	Новочеремушкинская	41	к	1	1965
7267	Москва	ул	Новочеремушкинская	41	к	2	1965
7268	Москва	ул	Профсоюзная	5/9			1957
7269	Москва	ул	Профсоюзная	7/12			1955
7270	Москва	ул	Профсоюзная	9			1957
7271	Москва	ул	Профсоюзная	11/11			1957
7272	Москва	ул	Профсоюзная	13/12			1958
7273	Москва	ул	Профсоюзная	15			1960
7274	Москва	ул	Профсоюзная	16/10			1955
7275	Москва	ул	Профсоюзная	17	к	1	1957
7276	Москва	ул	Профсоюзная	17	к	2	1958
7277	Москва	ул	Профсоюзная	17	к	3	1959
7278	Москва	ул	Профсоюзная	18	к	1	1954
7279	Москва	ул	Профсоюзная	19			1960
7280	Москва	ул	Профсоюзная	20/9			1954
7281	Москва	ул	Профсоюзная	22/10	к	1	1958
7282	Москва	ул	Профсоюзная	22/10	к	2	1957
7283	Москва	ул	Профсоюзная	24	к	1	1957
7284	Москва	ул	Профсоюзная	24	к	2	1958
7285	Москва	ул	Профсоюзная	24	к	3	1957
7286	Москва	ул	Профсоюзная	26/44			1959
7287	Москва	ул	Ферсмана	1	к	1	1958
7288	Москва	ул	Ферсмана	1	к	2	1958
7289	Москва	ул	Ферсмана	3	к	1	1958
7290	Москва	ул	Ферсмана	3	к	2	1962
7291	Москва	ул	Ферсмана	5	к	1	1962
7292	Москва	ул	Ферсмана	5	к	2	1962
7293	Москва	ул	Ферсмана	7			1963
7294	Москва	ул	Ферсмана	9			1957
7295	Москва	ул	Ферсмана	11	к	1	1958
7296	Москва	ул	Ферсмана	11	к	2	1958
7297	Москва	ул	Ферсмана	13	к	1	1958
7298	Москва	ул	Ферсмана	15			1958
7299	Москва	ул	Черемушкинская Б.	2	к	1	1965
7300	Москва	ул	Черемушкинская Б.	2	к	2	1966
7301	Москва	ул	Черемушкинская Б.	2	к	3	1969
7302	Москва	ул	Черемушкинская Б.	2	к	4	1997
7303	Москва	ул	Черемушкинская Б.	2	к	5	1999
7304	Москва	ул	Черемушкинская Б.	2	к	6	1997
7305	Москва	ул	Черемушкинская Б.	4			1959
7306	Москва	ул	Черемушкинская Б.	6	к	1	1959
7307	Москва	ул	Черемушкинская Б.	6	к	2	1959
7308	Москва	ул	Черемушкинская Б.	6	к	3	1960
7309	Москва	ул	Черемушкинская Б.	8	к	1	1959
7310	Москва	ул	Черемушкинская Б.	10	к	1	1965
7311	Москва	ул	Черемушкинская Б.	10	к	2	1963
7312	Москва	ул	Черемушкинская Б.	12			1963
7313	Москва	ул	Черемушкинская Б.	14	к	1	1965
7314	Москва	ул	Черемушкинская Б.	14	к	2	1963
7315	Москва	ул	Черемушкинская Б.	16			1963
7316	Москва	ул	Черемушкинская Б.	20	к	1	1964
7317	Москва	ул	Черемушкинская Б.	20	к	2	1967
7318	Москва	ул	Черемушкинская Б.	20	к	3	1973
7319	Москва	ул	Черемушкинская Б.	20	к	4	1999
7320	Москва	ул	Черемушкинская Б.	22			1966
7321	Москва	ул	Черемушкинская Б.	24	к	1	1984
7322	Москва	ул	Черемушкинская Б.	26	к	1	1963
7323	Москва	ул	Черемушкинская Б.	26	к	2	1966
7324	Москва	ул	Черемушкинская Б.	26	к	3	1978
7325	Москва	ул	Черемушкинская Б.	26	к	4	1993
7326	Москва	ул	Черемушкинская Б.	30	к	1	1954
7327	Москва	ул	Черемушкинская Б.	30	к	2	1954
7328	Москва	ул	Черемушкинская Б.	32	к	1	1954
7329	Москва	ул	Черемушкинская Б.	32	к	2	1954
7330	Москва	ул	Черемушкинская Б.	36	к	1	1953
7331	Москва	ул	Черемушкинская Б.	36	к	3	1953
7332	Москва	ул	Черемушкинская Б.	40	к	1	1953
7333	Москва	ул	Черемушкинская Б.	40	к	2	1953
7334	Москва	ул	Черемушкинская Б.	40	к	3	1955
7335	Москва	ул	Черемушкинская Б.	42	к	1	1954
7336	Москва	ул	Черемушкинская Б.	42	к	2	1954
7337	Москва	проезд	Черемушкинский	3	к	1	1960
7338	Москва	проезд	Черемушкинский	3	к	2	1959
7339	Москва	ул	Шверника	1	к	1	1967
7340	Москва	ул	Шверника	1	к	3	1964
7341	Москва	ул	Шверника	1	к	4	1965
7342	Москва	ул	Шверника	2	к	1	1957
7343	Москва	ул	Шверника	2	к	2	1957
7344	Москва	ул	Шверника	3			2002
7345	Москва	ул	Шверника	3	к	1	2002
7346	Москва	ул	Шверника	5			2000
7347	Москва	ул	Шверника	5	к	2	1964
7348	Москва	ул	Шверника	6	к	1	1960
7349	Москва	ул	Шверника	6	к	2	1960
7350	Москва	ул	Шверника	7			2000
7351	Москва	ул	Шверника	7	к	2	2000
7352	Москва	ул	Шверника	8/1	к	1	1957
7353	Москва	ул	Шверника	8/1	к	2	1957
7354	Москва	ул	Шверника	8/1	к	3	1957
7355	Москва	ул	Шверника	9	к	5	1965
7356	Москва	ул	Шверника	11			2000
7357	Москва	ул	Шверника	11	к	2	1999
7358	Москва	ул	Шверника	11	к	3	2000
7359	Москва	ул	Шверника	12/2	к	1	1957
7360	Москва	ул	Шверника	12/2	к	2	1957
7361	Москва	ул	Шверника	12/2	к	3	1957
7362	Москва	ул	Шверника	13	к	3	1962
7363	Москва	ул	Шверника	13	к	4	1965
7364	Москва	ул	Шверника	14/1	к	1	1959
7365	Москва	ул	Шверника	14/1	к	2	1959
7366	Москва	ул	Шверника	15	к	1	1965
7367	Москва	ул	Шверника	15	к	2	1970
7368	Москва	ул	Шверника	16	к	1	1961
7369	Москва	ул	Шверника	16	к	2	1964
7370	Москва	ул	Шверника	17	к	3	1984
7371	Москва	ул	Шверника	18	к	1	1959
7372	Москва	ул	Шверника	18	к	2	1960
7373	Москва	ул	Шверника	20			1959
7374	Москва	ул	Шверника	22	к	1	1959
7375	Москва	ул	Шверника	22	к	2	1960
7376	Москва	пр-кт	Новоясеневский	12	к	3	1976
7377	Москва	б-р	Литовский	5/10			1985
7378	Москва	ул	Айвазовского	6	к	1	1978
7379	Москва	б-р	Литовский	13/12			1987
7380	Москва	ул	Тарусская	22	к	1	1986
7381	Москва	ул	Новаторов	38	к	2	1963
7382	Москва	ш	Щелковское	82	к	1	2004
7383	Москва	ул	Парковая 13-я	42			2004
7384	Москва	ул	Константина Федина	1	к	2	1966
7385	Москва	б-р	Сиреневый	44	к	1	2007
7386	Москва	ул	Академика Челомея	4			1984
7387	Москва	ул	Удальцова	65Б			1964
7388	Москва	ул	Рокотова	8	к	2	1978
7389	Москва	пр-кт	Новоясеневский	12	к	3	1976
7390	Москва	проезд	Одоевского	7	к	6	1981
7391	Москва	проезд	Одоевского	7	к	5	1981
7392	Москва	ул	Голубинская	25	к	2	1977
7393	Москва	пр-кт	Новоясеневский	14	к	2	1976
7394	Москва	проезд	Одоевского	11	к	7	1997
7395	Москва	проезд	Соловьиный	1			2002
7396	Москва	ул	Вильнюсская	4			1976
7397	Москва	ул	Голубинская	29	к	3	1980
7398	Москва	ул	Гарибальди	3			2006
7399	Москва	ул	Гарибальди	6	к	1	2010
7400	Москва	ул	Гарибальди	7			2009
7401	Москва	пр-кт	Ленинский	83	к	1	2013
7402	Москва	пр-кт	Ленинский	83	к	2	2013
7403	Москва	ул	Новочеремушкинская	44	к	2	2002
7404	Москва	ул	Новочеремушкинская	44	к	3	2005
7405	Москва	ул	Новочеремушкинская	55	к	2	2011
7406	Москва	ул	Панферова	4			2013
7407	Москва	ул	Профсоюзная	25	к	1	2009
7408	Москва	ул	Металлургов	38			1967
7409	Москва	пр-кт	Маршала Жукова	43	к	2	2006
7410	Москва	пр-кт	Маршала Жукова	43	к	3	2005
7411	Москва	наб	Академика Туполева	15			2008
7412	Москва	пер	Аптекарский	3/22			1928
7413	Москва	пер	Аптекарский	5/21			1917
7414	Москва	пер	Аптекарский	7			1954
7415	Москва	пер	Аптекарский	8/2			1976
7416	Москва	пер	Аптекарский	10/1			1978
7417	Москва	пер	Аптекарский	13/15			1958
7418	Москва	пер	Аптекарский	15			1964
7419	Москва	ул	Бакунинская	4/6	стр	2	1934
7420	Москва	ул	Бакунинская	8			1938
7421	Москва	ул	Бакунинская	17/28			2000
7422	Москва	ул	Бакунинская	43/55			1980
7423	Москва	ул	Бакунинская	49	стр	4	1917
7424	Москва	ул	Бакунинская	49	стр	5	1917
7425	Москва	ул	Басманная Стар.	24			1973
7426	Москва	ул	Басманная Стар.	30/1			1912
7427	Москва	ул	Бауманская	19			1966
7428	Москва	ул	Бауманская	20	стр	2	1904
7429	Москва	ул	Бауманская	23			1917
7430	Москва	ул	Бауманская	26			1917
7431	Москва	ул	Бауманская	27			1966
7432	Москва	ул	Бауманская	28	стр	2	1917
7433	Москва	ул	Бауманская	33/2	стр	3	1917
7434	Москва	ул	Бауманская	34/20			1968
7435	Москва	ул	Бауманская	35/1			1902
7436	Москва	ул	Бауманская	43	стр	2	1905
7437	Москва	ул	Бауманская	56/17	стр	1	1917
7438	Москва	ул	Бауманская	58А			1970
7439	Москва	ул	Бауманская	62/66			1977
7440	Москва	ул	Бауманская	66/11			1900
7441	Москва	пер	Бригадирский	3/5			1974
7442	Москва	пер	Денисовский	3/5			1959
7443	Москва	пер	Денисовский	8/14			1960
7444	Москва	пер	Денисовский	9			1959
7445	Москва	ул	Доброслободская	7/1			1917
7446	Москва	ул	Доброслободская	8			1971
7447	Москва	ул	Доброслободская	12			1974
7448	Москва	ул	Доброслободская	14	к	2	1974
7449	Москва	ул	Доброслободская	15			1994
7450	Москва	ул	Доброслободская	15/17			1956
7451	Москва	ул	Доброслободская	16	к	1	1960
7452	Москва	ул	Доброслободская	16	к	2	1962
7453	Москва	ул	Доброслободская	16	к	3	1966
7454	Москва	проезд	Елоховский	1			1900
7455	Москва	ул	Красносельская Нижн.	43			1977
7456	Москва	ул	Красносельская Нижн.	44			1974
7457	Москва	ул	Ладожская	2/37			1961
7458	Москва	ул	Ладожская	8			1996
7459	Москва	пер	Лефортовский	4	стр	3	1915
7460	Москва	пер	Лефортовский	5/7	стр	4	1957
7461	Москва	пер	Налесный	9/11			1956
7462	Москва	ул	Новорязанская	31/7	стр	5	1932
7463	Москва	ул	Новорязанская	31/7	стр	6	1933
7464	Москва	ул	Ольховская	2А			1917
7465	Москва	ул	Ольховская	16			1917
7466	Москва	пер	Переведеновский	7/7			1982
7467	Москва	пер	Переведеновский	12			1971
7468	Москва	пер	Переведеновский	16			1917
7469	Москва	пер	Переведеновский	16	стр	4	1917
7470	Москва	пер	Переведеновский	22			1957
7471	Москва	пер	Плетешковский	3А	стр	1	1929
7472	Москва	пер	Плетешковский	3А	стр	1А	1957
7473	Москва	пер	Плетешковский	6	стр	1	1917
7474	Москва	пер	Плетешковский	7/9	стр	1	1958
7475	Москва	пер	Плетешковский	8	стр	1	1962
7476	Москва	пер	Плетешковский	8	стр	2	1917
7477	Москва	пер	Плетешковский	10			1910
7478	Москва	пер	Плетешковский	12/16			1973
7479	Москва	пер	Плетешковский	15			1973
7480	Москва	пер	Плетешковский	17	стр	1	1983
7481	Москва	пер	Плетешковский	18/20	к	1	1966
7482	Москва	пер	Плетешковский	18/20	к	2	1966
7483	Москва	пер	Посланников	3	стр	5	1999
7484	Москва	пер	Посланников	11/14			1969
7485	Москва	ул	Спартаковская	6			1941
7486	Москва	ул	Спартаковская	16	к	2	1973
7487	Москва	ул	Спартаковская	18			1971
7488	Москва	ул	Спартаковская	19	стр	2	1929
7489	Москва	ул	Спартаковская	19	стр	3	1929
7490	Москва	ул	Спартаковская	19	стр	3А	1955
7491	Москва	пер	Спартаковский	26			1982
7492	Москва	пер	Старокирочный	16/2	стр	1	1959
7493	Москва	пер	Старокирочный	16/2	стр	2	1959
7494	Москва	пер	Старокирочный	16/2	стр	5	1960
7495	Москва	пер	Токмаков	3/5			1966
7496	Москва	пер	Токмаков	7			1917
7497	Москва	пер	Токмаков	13/15			1972
7498	Москва	ул	Фридриха Энгельса	3/5	стр	1	1917
7499	Москва	пер	Центросоюзный	4			1972
7500	Москва	пер	Центросоюзный	8/9			1979
7501	Москва	ул	Академика Арцимовича	2	к	1	1967
7502	Москва	ул	Академика Арцимовича	2	к	2	1967
7503	Москва	ул	Академика Арцимовича	3	к	1	1967
7504	Москва	ул	Академика Арцимовича	5	к	1	1967
7505	Москва	ул	Академика Арцимовича	5	к	2	1967
7506	Москва	ул	Академика Арцимовича	9			1987
7507	Москва	ул	Академика Арцимовича	9	к	1	2003
7508	Москва	ул	Академика Арцимовича	11			1993
7509	Москва	ул	Академика Арцимовича	12	к	1	1981
7510	Москва	ул	Академика Арцимовича	12	к	2	1994
7511	Москва	ул	Академика Арцимовича	13			1970
7512	Москва	ул	Академика Арцимовича	14	к	1	1967
7513	Москва	ул	Академика Арцимовича	14	к	2	1967
7514	Москва	ул	Академика Арцимовича	15			1967
7515	Москва	ул	Академика Арцимовича	18	к	1	1988
7516	Москва	ул	Академика Арцимовича	20			1968
7517	Москва	ул	Академика Волгина	3			1972
7518	Москва	ул	Академика Волгина	5			1980
7519	Москва	ул	Академика Волгина	9	к	2	1967
7520	Москва	ул	Академика Волгина	14	к	1	2000
7521	Москва	ул	Академика Волгина	14	к	2	2000
7522	Москва	ул	Академика Волгина	14	к	3	1999
7523	Москва	ул	Академика Волгина	15	к	1	1971
7524	Москва	ул	Академика Волгина	15	к	3	1981
7525	Москва	ул	Академика Волгина	25	к	1	1970
7526	Москва	ул	Академика Капицы	4			1988
7527	Москва	ул	Академика Капицы	6			1986
7528	Москва	ул	Академика Капицы	20			1986
7529	Москва	ул	Академика Капицы	22			1986
7530	Москва	ул	Академика Капицы	26	к	2	1989
7531	Москва	ул	Академика Капицы	26	к	3	1986
7532	Москва	ул	Академика Капицы	30	к	1	1986
7533	Москва	ул	Академика Капицы	34	к	/121	1986
7534	Москва	ул	Бутлерова	4			2009
7535	Москва	ул	Бутлерова	4	к	1	2008
7536	Москва	ул	Бутлерова	4	к	3	1967
7537	Москва	ул	Бутлерова	14	к	2	1972
7538	Москва	ул	Бутлерова	22			1989
7539	Москва	ул	Бутлерова	24	к	б	1972
7540	Москва	ул	Бутлерова	24	к	в	1972
7541	Москва	ул	Бутлерова	26	к	1	1968
7542	Москва	ул	Бутлерова	26	к	2	1969
7543	Москва	ул	Бутлерова	28			1969
7544	Москва	ул	Бутлерова	30			1982
7545	Москва	ул	Бутлерова	34	к	1	1969
7546	Москва	ул	Бутлерова	34	к	2	1969
7547	Москва	ул	Бутлерова	36	к	1	1969
7548	Москва	ул	Бутлерова	36	к	2	1969
7549	Москва	ул	Бутлерова	38	к	3	1968
7550	Москва	ул	Бутлерова	40	к	1	1979
7551	Москва	ул	Введенского	5	к	1	1968
7552	Москва	ул	Введенского	5	к	2	1968
7553	Москва	ул	Введенского	5	к	3	1968
7554	Москва	ул	Введенского	7			1968
7555	Москва	ул	Введенского	9			1968
7556	Москва	ул	Введенского	10	к	1	1968
7557	Москва	ул	Введенского	10	к	2	1969
7558	Москва	ул	Введенского	11	к	1	1968
7559	Москва	ул	Введенского	11	к	2	1968
7560	Москва	ул	Введенского	11	к	3	1968
7561	Москва	ул	Введенского	12	к	1	1974
7562	Москва	ул	Введенского	12	к	2	1974
7563	Москва	ул	Введенского	15	к	1	1968
7564	Москва	ул	Введенского	15	к	2	1968
7565	Москва	ул	Введенского	16			1989
7566	Москва	ул	Введенского	17	к	1	1968
7567	Москва	ул	Введенского	17	к	2	1968
7568	Москва	ул	Введенского	19	к	1	1969
7569	Москва	ул	Введенского	19	к	2	1970
7570	Москва	ул	Введенского	20	к	1	1969
7571	Москва	ул	Введенского	20	к	2	1970
7572	Москва	ул	Введенского	21			1969
7573	Москва	ул	Введенского	22	к	1	1973
7574	Москва	ул	Введенского	23	к	2	2001
7575	Москва	ул	Введенского	24			1969
7576	Москва	ул	Введенского	24	к	1	1999
7577	Москва	ул	Введенского	24	к	2	1999
7578	Москва	ул	Введенского	26			2001
7579	Москва	ул	Введенского	26	к	1	1969
7580	Москва	ул	Введенского	26	к	2	1969
7581	Москва	ул	Введенского	26	к	3	1969
7582	Москва	ул	Введенского	27	к	2	1972
7583	Москва	ул	Введенского	30	к	1	1982
7584	Москва	ул	Введенского	30	к	2	1982
7585	Москва	ул	Введенского	31	к	1	1970
7586	Москва	ул	Введенского	31	к	2	1970
7587	Москва	ул	Введенского	32			2001
7588	Москва	ул	Генерала Антонова	1			1969
7589	Москва	ул	Генерала Антонова	3			1989
7590	Москва	ул	Генерала Антонова	4	к	1	1969
7591	Москва	ул	Генерала Антонова	5	к	1	1968
7592	Москва	ул	Генерала Антонова	5	к	2	1968
7593	Москва	ул	Генерала Антонова	5	к	3	1969
7594	Москва	ул	Генерала Антонова	5	к	4	1985
7595	Москва	ул	Генерала Антонова	5	к	5	1986
7596	Москва	ул	Генерала Антонова	6			1970
7597	Москва	ул	Генерала Антонова	7	к	1	1969
7598	Москва	ул	Генерала Антонова	7	к	2	1969
7599	Москва	ул	Генерала Антонова	8			1969
7600	Москва	ул	Генерала Антонова	10			1969
7601	Москва	ул	Миклухо-Маклая	18/1			1980
7602	Москва	ул	Миклухо-Маклая	20			1979
7603	Москва	ул	Миклухо-Маклая	22			1981
7604	Москва	ул	Миклухо-Маклая	25			1967
7605	Москва	ул	Миклухо-Маклая	30			1985
7606	Москва	ул	Миклухо-Маклая	31			2003
7607	Москва	ул	Миклухо-Маклая	32	к	1	1986
7608	Москва	ул	Миклухо-Маклая	33			2011
7609	Москва	ул	Миклухо-Маклая	36	к	1	1988
7610	Москва	ул	Миклухо-Маклая	38			1987
7611	Москва	ул	Миклухо-Маклая	39	к	1	1966
7612	Москва	ул	Миклухо-Маклая	40			1995
7613	Москва	ул	Миклухо-Маклая	40	к	1	2001
7614	Москва	ул	Миклухо-Маклая	41			2004
7615	Москва	ул	Миклухо-Маклая	42			1990
7616	Москва	ул	Миклухо-Маклая	43			2007
7617	Москва	ул	Миклухо-Маклая	44			1988
7618	Москва	ул	Миклухо-Маклая	51	к	2	1970
7619	Москва	ул	Миклухо-Маклая	53	к	1	1984
7620	Москва	ул	Миклухо-Маклая	55			1971
7621	Москва	ул	Миклухо-Маклая	57	к	2	1970
7622	Москва	ул	Миклухо-Маклая	59			1985
7623	Москва	ул	Миклухо-Маклая	61			1970
7624	Москва	ул	Миклухо-Маклая	65	к	1	1968
7625	Москва	ул	Островитянова	11			1999
7626	Москва	ул	Островитянова	15	к	1	1978
7627	Москва	ул	Островитянова	21			1973
7628	Москва	ул	Островитянова	23	к	1	1967
7629	Москва	ул	Островитянова	23	к	3	1968
7630	Москва	ул	Островитянова	25			1976
7631	Москва	ул	Островитянова	27	к	1	1968
7632	Москва	ул	Островитянова	27	к	2	1968
7633	Москва	ул	Островитянова	27	к	3	1968
7634	Москва	ул	Островитянова	29	к	/120	1978
7635	Москва	ул	Островитянова	31			1970
7636	Москва	ул	Островитянова	33			1973
7637	Москва	ул	Островитянова	34	к	2	1986
7638	Москва	ул	Островитянова	35			1973
7639	Москва	ул	Островитянова	37			1973
7640	Москва	ул	Островитянова	37А			1977
7641	Москва	ул	Островитянова	39			1970
7642	Москва	ул	Островитянова	41	к	1	1971
7643	Москва	ул	Островитянова	41	к	2	1971
7644	Москва	ул	Островитянова	43	к	1	1990
7645	Москва	ул	Островитянова	43	к	2	1972
7646	Москва	ул	Островитянова	45	к	1	1972
7647	Москва	ул	Островитянова	45	к	2	1972
7648	Москва	ул	Островитянова	45	к	3	1971
7649	Москва	ул	Островитянова	47			1973
7650	Москва	ул	Островитянова	49			1973
7651	Москва	ул	Островитянова	51			1973
7652	Москва	ул	Островитянова	53	к	1	2001
7653	Москва	ул	Островитянова	53	к	2	2000
7654	Москва	ул	Островитянова	53	к	3	2000
7655	Москва	ул	Профсоюзная	75	к	2	1969
7656	Москва	ул	Профсоюзная	75	к	4	1969
7657	Москва	ул	Профсоюзная	77			1969
7658	Москва	ул	Профсоюзная	79			1968
7659	Москва	ул	Профсоюзная	85	к	2	1970
7660	Москва	ул	Профсоюзная	87/49			1971
7661	Москва	ул	Профсоюзная	88/20			1969
7662	Москва	ул	Профсоюзная	91			2004
7663	Москва	ул	Профсоюзная	91	к	1	1969
7664	Москва	ул	Профсоюзная	91	к	2	1970
7665	Москва	ул	Профсоюзная	91	к	3	1969
7666	Москва	ул	Профсоюзная	91	к	4	1970
7667	Москва	ул	Профсоюзная	93	к	1	1971
7668	Москва	ул	Профсоюзная	93	к	2	1970
7669	Москва	ул	Профсоюзная	93	к	3	1980
7670	Москва	ул	Профсоюзная	93	к	4	1998
7671	Москва	ул	Профсоюзная	94	к	2	2001
7672	Москва	ул	Профсоюзная	96	к	1	1965
7673	Москва	ул	Профсоюзная	96	к	2	1965
7674	Москва	ул	Профсоюзная	96	к	4	1967
7675	Москва	ул	Профсоюзная	97			1970
7676	Москва	ул	Профсоюзная	98	к	1	1969
7677	Москва	ул	Профсоюзная	98	к	4	1965
7678	Москва	ул	Профсоюзная	98	к	10	1972
7679	Москва	ул	Профсоюзная	98	к	11	1972
7680	Москва	ул	Профсоюзная	98	к	12	2002
7681	Москва	ул	Профсоюзная	99			1969
7682	Москва	ул	Профсоюзная	100			1968
7683	Москва	ул	Профсоюзная	101	к	1	1972
7684	Москва	ул	Профсоюзная	101	к	2	1972
7685	Москва	ул	Профсоюзная	101	к	3	1972
7686	Москва	ул	Профсоюзная	102	к	/47	1972
7687	Москва	ул	Профсоюзная	105			1972
7688	Москва	ул	Профсоюзная	107			1971
7689	Москва	ул	Профсоюзная	110	к	1	1967
7690	Москва	ул	Профсоюзная	110	к	2	1967
7691	Москва	ул	Профсоюзная	111	к	1	1987
7692	Москва	ул	Профсоюзная	113	к	1	1986
7693	Москва	ул	Профсоюзная	113	к	2	1986
7694	Москва	ул	Профсоюзная	114	к	1	1967
7695	Москва	ул	Профсоюзная	114	к	2	1967
7696	Москва	ул	Профсоюзная	114	к	3	1979
7697	Москва	ул	Профсоюзная	114	к	4	1979
7698	Москва	ул	Профсоюзная	114	к	5	1979
7699	Москва	ул	Профсоюзная	114	к	6	1984
7700	Москва	ул	Профсоюзная	115	к	1	1986
7701	Москва	ул	Профсоюзная	116	к	1	1973
7702	Москва	ул	Профсоюзная	116	к	2	1987
7703	Москва	ул	Профсоюзная	118	к	1	1973
7704	Москва	ул	Профсоюзная	118	к	2	1968
7705	Москва	пр-кт	Севастопольский	58			1980
7706	Москва	пр-кт	Мичуринский	6	к	1	2003
7707	Москва	б-р	Осенний	6			1984
7708	Москва	ул	Лобачевского	98	к	3	2009
7709	Москва	ул	Новаторов	14	к	2	1972
7710	Москва	пр-кт	Защитников Москвы	15			2011
7711	Москва	ул	Рождественская	25			2011
7712	Москва	ул	Арбат	36/2			1917
7713	Москва	пер	Афанасьевский Б.	31			1917
7714	Москва	пер	Николопесковский Б.	3			1914
7715	Москва	б-р	Новинский	1/2			1855
7716	Москва	пер	Сивцев Вражек	42	стр	1	1900
7717	Москва	пер	Трубниковский	4	стр	2	1912
7718	Москва	наб	Озерковская	26			2009
7719	Москва	пр-кт	Университетский	16			2007
7720	Москва	ул	Челюскинская	11			2008
7721	Москва	ул	Челюскинская	13			2008
7722	Москва	ул	Белореченская	22/66			2000
7723	Москва	ул	Белореченская	28	к	1	2000
7724	Москва	ул	Белореченская	28	к	2	2001
7725	Москва	ул	Белореченская	30			2000
7726	Москва	ул	Братиславская	8			2000
7727	Москва	ул	Братиславская	13	к	1	2000
7728	Москва	ул	Братиславская	31	к	3	1999
7729	Москва	ул	Верхние Поля	6			1999
7730	Москва	ул	Верхние Поля	8			2001
7731	Москва	ул	Верхние Поля	14	к	1	2001
7732	Москва	ул	Верхние Поля	16	к	1	2001
7733	Москва	ул	Верхние Поля	18			1999
7734	Москва	ул	Верхние Поля	36	к	1	2000
7735	Москва	б-р	Новочеркасский	49			1993
7736	Москва	б-р	Новочеркасский	51			1990
7737	Москва	ул	Перерва	45	к	1	1999
7738	Москва	ул	Перерва	49			1999
7739	Москва	ул	Перерва	49	к	1	1999
7740	Москва	ул	Перерва	58			2000
7741	Москва	ул	Перерва	62	к	1	2000
7742	Москва	ул	Перерва	62	к	2	2000
7743	Москва	ул	Перерва	62	к	3	2000
7744	Москва	б-р	Перервинский	7	к	1	2000
7745	Москва	б-р	Перервинский	7	к	2	2001
7746	Москва	б-р	Перервинский	14	к	1	1999
7747	Москва	б-р	Перервинский	14	к	2	1999
7748	Москва	б-р	Перервинский	14	к	3	1999
7749	Москва	б-р	Перервинский	22	к	2	1999
7750	Москва	б-р	Перервинский	22	к	3	1999
7751	Москва	ул	Поречная	27	к	1	2000
7752	Москва	ул	Поречная	31	к	1	1999
7753	Москва	ул	Ташкентская	34	к	4	2003
7754	Москва	ул	Ташкентская	34	к	5	2003
7755	Москва	проезд	Задонский	24	к	1	1977
7756	Москва	б-р	Ореховый	33А			2007
7757	Москва	ул	Шипиловская	55	к	1	1977
7758	Москва	ул	Шипиловская	58	к	3	1976
7759	Москва	ул	Шкулева	9	к	2	Не заполнено
7760	Москва	ул	1905 года	25			1965
7761	Москва	ул	26-ти Бакинских Комиссаров	8	к	4	1970
7762	Москва	ул	Артековская	6			1964
7763	Москва	ул	Артековская	8			1964
7764	Москва	ул	Басманная Нов.	17			1970
7765	Москва	ул	Беговая	6	к	3	1970
7766	Москва	ул	Берзарина	3	к	2	1975
7767	Москва	ш	Варшавское	142	к	2	1982
7768	Москва	пр-кт	Вернадского	91	к	3	1976
7769	Москва	пр-кт	Вернадского	97	к	1	1972
7770	Москва	пр-кт	Вернадского	111			1968
7771	Москва	пр-кт	Вернадского	113			1970
7772	Москва	ул	Вешняковская	6	к	3	1972
7773	Москва	ул	Генерала Глаголева	14			1967
7774	Москва	ул	Гурьянова	2	к	2	2006
7775	Москва	ул	Гурьянова	17	к	1	2001
7776	Москва	ул	Гурьянова	69	к	1	1990
7777	Москва	ул	Демьяна Бедного	4	к	1	1981
7778	Москва	ул	Демьяна Бедного	19	к	2	1975
7779	Москва	ул	Демьяна Бедного	23	к	1	1974
7780	Москва	ш	Дмитровское	76	к	1	1969
7781	Москва	пр-кт	Измайловский	115А			1972
7782	Москва	ул	Лескова	10Б			1974
7783	Москва	ул	Маломосковская	3	к	1	1969
7784	Москва	ул	Маршала Тухачевского	22	к	1	1964
7785	Москва	ул	Маршала Тухачевского	24	к	1	1963
7786	Москва	ул	Маршала Тухачевского	26	к	2	1964
7787	Москва	ул	Маршала Тухачевского	28	к	2	1964
7788	Москва	ул	Маршала Тухачевского	32	к	1	1965
7789	Москва	ул	Маршала Федоренко	4	к	1	1982
7790	Москва	ул	Маршала Федоренко	4	к	2	1982
7791	Москва	ул	Масловка Верхн.	16			1976
7792	Москва	б-р	Матроса Железняка	3			1977
7793	Москва	б-р	Матроса Железняка	35			1966
7794	Москва	пер	Михалковский 3-й	20	к	1	1966
7795	Москва	ул	Нагатинская	11	к	1	1969
7796	Москва	ул	Нагатинская	11	к	2	1969
7797	Москва	ул	Нагатинская	13	к	2	1969
7798	Москва	ул	Нагатинская	15	к	1	1969
7799	Москва	ул	Нагатинская	15	к	2	1969
7800	Москва	ул	Народного Ополчения	25			1970
7801	Москва	ул	Новоалексеевская	9			1966
7802	Москва	пер	Новоподмосковный 5-й	4	к	2	1982
7803	Москва	ул	Павла Корчагина	15			1973
7804	Москва	ул	Парковая 13-я	31	к	1	1966
7805	Москва	ул	Парковая 13-я	34	к	1	1966
7806	Москва	ул	Парковая 13-я	34	к	2	1966
7807	Москва	ул	Парковая 13-я	36			1963
7808	Москва	ул	Профсоюзная	132	к	4	1972
7809	Москва	ул	Профсоюзная	142	к	4	1972
7810	Москва	ул	Пугачевская 2-я	5	стр	под.	1967
